contract_id,supplier_id,contract_no,category,currency,agreed_lead_time_days,payment_terms,start_date,end_date,status
CTR-000093,SUP-00044,ДОГ-5046/2025,ЛКМ и химия,RUB,45,Отсрочка 15 дней,2025-02-27,2025-01-19,Истёк
CTR-000094,SUP-00231,ДОГ-7039/2024,Гидравлика,CNY,21,Отсрочка 15 дней,2024-01-12,2026-07-25,Действует
CTR-000095,SUP-00397,ДОГ-6303/2024,Услуги (логистика/ремонт),RUB,14,Предоплата 50%,2024-12-22,2025-10-05,Истёк
CTR-000096,SUP-00299,ДОГ-5470/2025,Гидравлика,RUB,21,Отсрочка 15 дней,2025-07-27,2026-05-08,Действует
CTR-000097,SUP-00385,ДОГ-8291/2024,ЛКМ и химия,USD,10,Отсрочка 30 дней,2024-05-13,2025-09-01,Истёк
CTR-000098,SUP-00397,ДОГ-2031/2025,Услуги (логистика/ремонт),CNY,30,Предоплата 50%,2025-02-19,2026-06-18,Действует
CTR-000099,SUP-00172,ДОГ-8492/2024,ЛКМ и химия,USD,14,Отсрочка 15 дней,2024-01-17,2026-11-14,Действует
CTR-000100,SUP-00266,ДОГ-9340/2025,Шины и диски,CNY,30,Предоплата 50%,2025-08-01,2026-06-22,Действует
CTR-000101,SUP-00418,ДОГ-8509/2024,Электрооборудование,RUB,21,Предоплата 100%,2024-04-19,2026-06-10,Действует
CTR-000102,SUP-00384,ДОГ-5799/2025,Металлопрокат,RUB,14,Отсрочка 30 дней,2025-06-27,2026-09-23,Действует
CTR-000103,SUP-00145,ДОГ-1162/2024,Электрооборудование,RUB,7,Предоплата 50%,2024-06-13,2026-08-03,Действует
CTR-000104,SUP-00414,ДОГ-1640/2024,Гидравлика,USD,14,Предоплата 100%,2024-01-27,2026-09-05,Действует
CTR-000105,SUP-00265,ДОГ-5432/2024,ЛКМ и химия,RUB,30,Предоплата 50%,2024-02-26,2024-09-02,Истёк
CTR-000106,SUP-00042,ДОГ-4112/2024,Металлопрокат,RUB,21,Отсрочка 30 дней,2024-08-08,2026-10-17,Действует
CTR-000107,SUP-00140,ДОГ-8761/2025,ЛКМ и химия,RUB,30,Предоплата 100%,2025-07-01,2026-11-14,Действует
CTR-000108,SUP-00160,ДОГ-7071/2024,Металлопрокат,RUB,7,Предоплата 100%,2024-08-24,2026-08-30,Действует
CTR-000109,SUP-00093,ДОГ-2668/2024,Электрооборудование,RUB,7,Предоплата 100%,2024-12-13,2026-08-08,Действует
CTR-000110,SUP-00447,ДОГ-5277/2024,Шины и диски,USD,30,Отсрочка 45 дней,2024-12-26,2026-10-26,Действует
CTR-000111,SUP-00341,ДОГ-9235/2024,Услуги (логистика/ремонт),RUB,45,Предоплата 50%,2024-10-22,2026-02-09,Действует
CTR-000112,SUP-00046,ДОГ-1572/2025,Металлопрокат,RUB,45,Отсрочка 45 дней,2025-04-22,2026-12-09,Действует
CTR-000113,SUP-00393,ДОГ-1779/2025,Шины и диски,RUB,14,Отсрочка 15 дней,2025-03-07,2025-10-13,Истёк
CTR-000114,SUP-00139,ДОГ-7445/2024,Услуги (логистика/ремонт),RUB,45,Отсрочка 45 дней,2024-09-09,2026-02-05,Действует
CTR-000115,SUP-00156,ДОГ-7131/2025,Подшипники,RUB,7,Предоплата 50%,2025-03-02,2025-05-23,Истёк
CTR-000116,SUP-00166,ДОГ-8146/2024,Услуги (логистика/ремонт),RUB,14,Предоплата 100%,2024-05-03,2026-07-09,Действует
CTR-000117,SUP-00469,ДОГ-3046/2024,Металлопрокат,RUB,10,Отсрочка 45 дней,2024-06-25,2025-03-26,Истёк
CTR-000118,SUP-00096,ДОГ-9174/2024,ЛКМ и химия,USD,21,Отсрочка 30 дней,2024-10-22,2026-05-26,Действует
CTR-000119,SUP-00139,ДОГ-4650/2024,Гидравлика,RUB,10,Отсрочка 45 дней,2024-10-16,2026-07-23,Действует
CTR-000120,SUP-00039,ДОГ-9013/2024,Крепёж,RUB,14,Предоплата 100%,2024-08-19,2026-01-17,Действует
CTR-000121,SUP-00154,ДОГ-1923/2024,Металлопрокат,RUB,21,Отсрочка 30 дней,2024-12-16,2026-11-15,Действует
CTR-000122,SUP-00049,ДОГ-8738/2024,Шины и диски,RUB,45,Предоплата 50%,2024-07-02,2025-02-13,Истёк
CTR-000123,SUP-00481,ДОГ-9782/2025,Шины и диски,CNY,14,Отсрочка 45 дней,2025-05-15,2026-06-01,Действует
CTR-000124,SUP-00266,ДОГ-6001/2024,Подшипники,RUB,10,Предоплата 50%,2024-11-18,2026-04-16,Действует
CTR-000125,SUP-00377,ДОГ-6368/2024,Услуги (логистика/ремонт),RUB,30,Отсрочка 45 дней,2024-11-10,2026-09-28,Действует
CTR-000126,SUP-00035,ДОГ-9668/2024,Металлопрокат,RUB,14,Отсрочка 45 дней,2024-03-03,2026-02-09,Действует
CTR-000127,SUP-00294,ДОГ-8726/2024,Шины и диски,RUB,45,Отсрочка 45 дней,2024-09-15,2026-05-31,Действует
CTR-000128,SUP-00096,ДОГ-5846/2024,Крепёж,USD,7,Отсрочка 30 дней,2024-05-18,2026-10-11,Действует
CTR-000129,SUP-00166,ДОГ-8527/2024,Шины и диски,RUB,14,Предоплата 100%,2024-10-28,2026-11-02,Действует
CTR-000130,SUP-00419,ДОГ-9364/2024,Металлопрокат,RUB,10,Отсрочка 15 дней,2024-07-21,2026-09-21,Действует
CTR-000131,SUP-00048,ДОГ-4293/2024,Шины и диски,CNY,30,Отсрочка 30 дней,2024-08-04,2026-02-18,Действует
CTR-000132,SUP-00490,ДОГ-9764/2025,Подшипники,CNY,7,Отсрочка 45 дней,2025-03-07,2026-09-30,Действует
CTR-000133,SUP-00164,ДОГ-1157/2024,ЛКМ и химия,CNY,21,Отсрочка 30 дней,2024-06-21,2026-04-24,Действует
CTR-000134,SUP-00070,ДОГ-6009/2024,Гидравлика,RUB,45,Отсрочка 30 дней,2024-02-28,2026-08-29,Действует
CTR-000135,SUP-00093,ДОГ-1819/2024,Крепёж,CNY,30,Предоплата 100%,2024-11-25,2026-10-03,Действует
CTR-000136,SUP-00422,ДОГ-5792/2024,ЛКМ и химия,USD,21,Отсрочка 15 дней,2024-12-24,2026-04-20,Действует
CTR-000137,SUP-00037,ДОГ-7512/2025,Крепёж,RUB,10,Отсрочка 30 дней,2025-04-29,2026-06-09,Действует
CTR-000138,SUP-00089,ДОГ-5209/2025,Гидравлика,USD,14,Предоплата 100%,2025-02-03,2026-11-04,Действует
CTR-000139,SUP-00484,ДОГ-1475/2024,Металлопрокат,RUB,7,Отсрочка 45 дней,2024-12-09,2026-11-04,Действует
CTR-000140,SUP-00255,ДОГ-1277/2025,Шины и диски,RUB,10,Отсрочка 15 дней,2025-07-15,2026-11-05,Действует
CTR-000141,SUP-00039,ДОГ-5759/2024,ЛКМ и химия,RUB,45,Предоплата 100%,2024-03-22,2026-10-08,Действует
CTR-000142,SUP-00138,ДОГ-8500/2024,Электрооборудование,USD,10,Предоплата 50%,2024-10-04,2026-06-15,Действует
CTR-000143,SUP-00268,ДОГ-6710/2025,Подшипники,CNY,45,Отсрочка 45 дней,2025-01-08,2026-11-02,Действует
CTR-000144,SUP-00044,ДОГ-8581/2024,Крепёж,RUB,14,Отсрочка 15 дней,2024-02-16,2026-08-27,Действует
CTR-000145,SUP-00252,ДОГ-2342/2024,Услуги (логистика/ремонт),RUB,14,Предоплата 100%,2024-07-05,2026-09-02,Действует
CTR-000146,SUP-00394,ДОГ-6385/2025,Крепёж,RUB,10,Предоплата 100%,2025-06-19,2025-08-02,Истёк
CTR-000147,SUP-00175,ДОГ-2717/2024,Крепёж,RUB,45,Отсрочка 15 дней,2024-06-06,2025-03-22,Истёк
CTR-000148,SUP-00097,ДОГ-8117/2024,Крепёж,RUB,30,Отсрочка 15 дней,2024-01-25,2026-07-07,Действует
CTR-000149,SUP-00108,ДОГ-1186/2025,Металлопрокат,CNY,45,Отсрочка 15 дней,2025-05-12,2026-08-10,Действует
CTR-000150,SUP-00451,ДОГ-8295/2025,Услуги (логистика/ремонт),CNY,7,Предоплата 50%,2025-08-03,2025-10-22,Истёк
CTR-000151,SUP-00166,ДОГ-4403/2024,Шины и диски,RUB,7,Предоплата 100%,2024-05-25,2025-05-12,Истёк
CTR-000152,SUP-00310,ДОГ-8613/2024,Металлопрокат,RUB,10,Предоплата 50%,2024-11-10,2026-01-24,Действует
CTR-000153,SUP-00048,ДОГ-2996/2025,Шины и диски,CNY,7,Отсрочка 30 дней,2025-02-02,2026-03-17,Действует
CTR-000154,SUP-00008,ДОГ-6036/2025,Подшипники,RUB,14,Предоплата 50%,2025-06-23,2025-04-16,Истёк
CTR-000155,SUP-00047,ДОГ-6375/2025,Крепёж,CNY,45,Отсрочка 45 дней,2025-03-06,2026-10-12,Действует
CTR-000156,SUP-00048,ДОГ-5904/2024,Шины и диски,USD,10,Отсрочка 30 дней,2024-10-11,2026-03-24,Действует
CTR-000157,SUP-00172,ДОГ-9129/2024,Шины и диски,USD,21,Отсрочка 15 дней,2024-12-11,2026-10-12,Действует
CTR-000158,SUP-00055,ДОГ-9350/2025,Гидравлика,CNY,10,Отсрочка 45 дней,2025-03-20,2026-07-11,Действует
CTR-000159,SUP-00089,ДОГ-6470/2024,Электрооборудование,USD,7,Предоплата 100%,2024-08-29,2026-01-17,Действует
CTR-000160,SUP-00166,ДОГ-6477/2024,Гидравлика,USD,10,Предоплата 100%,2024-10-19,2026-02-27,Действует
CTR-000161,SUP-00289,ДОГ-2659/2025,Гидравлика,RUB,10,Предоплата 50%,2025-07-29,2026-04-30,Действует
CTR-000162,SUP-00172,ДОГ-4931/2024,Услуги (логистика/ремонт),USD,10,Отсрочка 15 дней,2024-02-07,2026-10-01,Действует
CTR-000163,SUP-00195,ДОГ-7715/2024,Металлопрокат,RUB,10,Отсрочка 15 дней,2024-06-05,2026-07-26,Действует
CTR-000164,SUP-00138,ДОГ-5201/2025,Крепёж,USD,7,Предоплата 50%,2025-06-11,2026-05-24,Действует
CTR-000165,SUP-00021,ДОГ-6297/2024,Шины и диски,RUB,30,Отсрочка 45 дней,2024-04-11,2025-04-22,Истёк
CTR-000166,SUP-00422,ДОГ-7116/2024,Крепёж,RUB,10,Отсрочка 15 дней,2024-10-27,2025-11-20,Истёк
CTR-000167,SUP-00344,ДОГ-1135/2025,ЛКМ и химия,RUB,21,Отсрочка 30 дней,2025-07-07,2026-05-03,Действует
CTR-000168,SUP-00175,ДОГ-2678/2025,ЛКМ и химия,RUB,45,Отсрочка 15 дней,2025-03-02,2025-03-29,Истёк
CTR-000169,SUP-00125,ДОГ-6193/2024,Шины и диски,RUB,30,Предоплата 100%,2024-04-22,2026-05-11,Действует
CTR-000170,SUP-00175,ДОГ-1058/2024,Подшипники,RUB,30,Отсрочка 15 дней,2024-02-09,2026-05-27,Действует
CTR-000171,SUP-00258,ДОГ-6241/2024,Электрооборудование,RUB,45,Предоплата 100%,2024-10-05,2026-06-01,Действует
CTR-000172,SUP-00105,ДОГ-3224/2024,Услуги (логистика/ремонт),RUB,21,Предоплата 50%,2024-11-26,2026-09-03,Действует
CTR-000173,SUP-00122,ДОГ-2963/2024,Крепёж,USD,14,Отсрочка 45 дней,2024-07-14,2026-08-19,Действует
CTR-000174,SUP-00399,ДОГ-9255/2024,Крепёж,CNY,21,Предоплата 100%,2024-01-30,2026-04-30,Действует
CTR-000175,SUP-00085,ДОГ-9388/2025,Шины и диски,RUB,10,Отсрочка 30 дней,2025-04-20,2026-07-16,Действует
CTR-000176,SUP-00175,ДОГ-2544/2025,Шины и диски,RUB,30,Отсрочка 15 дней,2025-04-25,2026-06-09,Действует
CTR-000177,SUP-00009,ДОГ-7867/2024,Металлопрокат,RUB,30,Предоплата 100%,2024-04-19,2026-12-06,Действует
CTR-000178,SUP-00049,ДОГ-1647/2024,ЛКМ и химия,RUB,45,Предоплата 50%,2024-05-10,2026-04-09,Действует
CTR-000179,SUP-00419,ДОГ-8376/2024,Услуги (логистика/ремонт),RUB,7,Отсрочка 15 дней,2024-08-20,2026-07-15,Действует
CTR-000180,SUP-00124,ДОГ-5458/2024,Крепёж,CNY,10,Отсрочка 45 дней,2024-10-07,2026-09-24,Действует
CTR-000181,SUP-00065,ДОГ-2233/2025,Металлопрокат,CNY,21,Отсрочка 15 дней,2025-01-09,2025-01-19,Истёк
CTR-000182,SUP-00378,ДОГ-3362/2024,ЛКМ и химия,CNY,21,Отсрочка 15 дней,2024-11-06,2025-06-24,Истёк
CTR-000183,SUP-00021,ДОГ-5190/2025,Гидравлика,RUB,10,Отсрочка 45 дней,2025-07-19,2026-09-15,Действует
CTR-000184,SUP-00069,ДОГ-4039/2024,ЛКМ и химия,RUB,14,Отсрочка 45 дней,2024-03-15,2025-05-22,Истёк
CTR-000185,SUP-00414,ДОГ-9742/2024,Металлопрокат,RUB,10,Предоплата 100%,2024-08-01,2026-03-10,Действует
CTR-000186,SUP-00141,ДОГ-4524/2025,Металлопрокат,USD,7,Отсрочка 45 дней,2025-06-16,2026-07-28,Действует
CTR-000187,SUP-00060,ДОГ-1918/2025,Подшипники,RUB,7,Предоплата 50%,2025-02-06,2026-04-10,Действует
CTR-000188,SUP-00294,ДОГ-3220/2024,Крепёж,CNY,14,Отсрочка 45 дней,2024-08-24,2025-05-16,Истёк
CTR-000189,SUP-00083,ДОГ-8616/2025,Услуги (логистика/ремонт),CNY,14,Отсрочка 30 дней,2025-07-04,2026-10-25,Действует
CTR-000190,SUP-00021,ДОГ-1201/2024,Металлопрокат,USD,10,Отсрочка 45 дней,2024-04-02,2026-07-03,Действует
CTR-000191,SUP-00298,ДОГ-8396/2024,Подшипники,RUB,7,Предоплата 50%,2024-03-26,2026-01-31,Действует
CTR-000192,SUP-00044,ДОГ-8743/2025,Крепёж,USD,21,Отсрочка 15 дней,2025-07-01,2026-10-01,Действует
CTR-000193,SUP-00058,ДОГ-6180/2024,ЛКМ и химия,USD,7,Предоплата 100%,2024-04-26,2026-05-23,Действует
CTR-000194,SUP-00498,ДОГ-8765/2024,Металлопрокат,USD,14,Предоплата 50%,2024-04-17,2026-02-18,Действует
CTR-000195,SUP-00142,ДОГ-4695/2025,ЛКМ и химия,RUB,10,Отсрочка 45 дней,2025-02-14,2025-09-09,Истёк
CTR-000196,SUP-00070,ДОГ-3360/2024,Электрооборудование,RUB,10,Отсрочка 30 дней,2024-05-21,2026-01-21,Действует
CTR-000197,SUP-00447,ДОГ-5449/2024,ЛКМ и химия,USD,21,Отсрочка 45 дней,2024-09-27,2026-01-22,Действует
CTR-000198,SUP-00422,ДОГ-7892/2025,Электрооборудование,RUB,7,Отсрочка 15 дней,2025-01-13,2026-05-23,Действует
CTR-000199,SUP-00101,ДОГ-5916/2024,Металлопрокат,RUB,14,Предоплата 100%,2024-05-07,2026-09-09,Действует
CTR-000200,SUP-00476,ДОГ-7263/2024,Металлопрокат,RUB,7,Отсрочка 45 дней,2024-12-27,2026-04-20,Действует
